Et,Et+1,G,P
368.2,338.1,1.7955148,1.936981304
467.4,494.4,1.8727356,0.357244221
5978.9,6083.9,1.893106,0.109185503
1522.6,1534.0,1.6337348,0.097186361
2751.6,2794.2,1.4183192,0.073130548
4686.7,4421.8,1.6271976,0.089619078
2880.6,2724.9,1.504894,0.058379529
5044.9,5197.8,1.3477868,0.042984465
302.6,285.1,2.7624984,1.408693361
7030.8,7235.1,2.8092608,0.220463835
2933.4,3146.1,3.1112592,0.373536844
4390.8,4655.5,2.4859476,0.098373887
3717.9,4155.7,3.0417076,0.330659283
2859.1,3130.3,3.2224096,0.18078308
9549.6,9325.9,2.0337184,0.126713967
7641.3,7799.7,2.0641088,0.097660963
5728.6,6278.4,2.6077904,0.117330162
5630.7,6081.9,2.7095244,0.162941545
5520.0,6078.4,3.5884592,0.310371192
4197.1,4591.4,2.7485164,0.113015923
1323.9,1470.4,3.2112276,0.22625706
1738.1,1968.3,2.7642916,0.136321744
6377.8,6831.1,2.2386536,0.137660814
2738.7,3097.2,2.5230944,0.117745846
3383.1,3633.1,2.4148076,0.103329307
149.5,173.0,1.49747,0.452076749
2813.5,2985.8,1.9357888,0.130301362
1722.1,1778.0,1.335418,0.092476139
319.3,338.8,1.3133816,0.347399728
483.0,493.6,1.4845728,0.128881482
2804.4,2969.7,1.5070252,0.116660564
338.1,308.3,1.7955148,1.936981304
494.4,382.1,1.8727356,0.357244221
6083.9,5373.4,1.893106,0.109185503
1534.0,1418.7,1.6337348,0.097186361
2794.2,2813.5,1.4183192,0.073130548
4421.8,3851.6,1.6271976,0.089619078
2724.9,2064.3,1.504894,0.058379529
5197.8,5596.6,1.3477868,0.042984465
285.1,292.6,2.7624984,1.408693361
7235.1,7161.2,2.8092608,0.220463835
3146.1,3093.4,3.1112592,0.373536844
4655.5,4597.9,2.4859476,0.098373887
4155.7,3947.2,3.0417076,0.330659283
3130.3,3069,3.2224096,0.18078308
9325.9,9140.4,2.0337184,0.126713967
7799.7,7562.5,2.0641088,0.097660963
6278.4,6129.7,2.6077904,0.117330162
6081.9,5213.5,2.7095244,0.162941545
6078.4,5969.9,3.5884592,0.310371192
4591.4,4698.7,2.7485164,0.113015923
1470.4,1488.9,3.2112276,0.22625706
1968.3,1902.5,2.7642916,0.136321744
6831.1,6955.5,2.2386536,0.137660814
3097.2,3413.9,2.5230944,0.117745846
3633.1,3872.9,2.4148076,0.103329307
173.0,178.2,1.49747,0.452076749
2985.8,3077.6,1.9357888,0.130301362
1778.0,1559.6,1.335418,0.092476139
338.8,364.1,1.3133816,0.347399728
493.6,517.4,1.4845728,0.128881482
2969.7,3326.6,1.5070252,0.116660564
